;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
40;100;94;89;84;79;75;71;67;63;59;56;52;49;47;44;41;39;36;34;32;30;28;27;25;23;22;20;19;18;17;16;15;14;13;12;11;10;10;9;8;8
39;100;94;89;84;79;75;71;66;63;59;56;52;49;46;44;41;39;36;34;32;30;28;26;25;23;22;20;19;18;17;16;14;14;13;12;11;10;10;9;8;8
38;100;94;89;84;79;75;70;66;63;59;55;52;49;46;43;41;38;36;34;32;30;28;26;25;23;21;20;19;18;16;15;14;13;12;12;11;10;9;9;8;7
37;100;94;89;84;79;75;70;66;62;59;55;52;49;46;43;41;38;36;34;32;30;28;26;24;23;21;20;19;17;16;15;14;13;12;11;11;10;9;9;8;7
36;100;94;89;84;79;75;70;66;62;59;55;52;49;46;43;40;38;36;33;31;29;28;26;24;23;21;20;18;17;16;15;14;13;12;11;11;10;9;8;8;7
35;100;94;89;84;79;74;70;66;62;58;55;52;49;46;43;40;38;35;33;31;29;27;26;24;22;21;20;18;17;16;15;14;13;12;11;10;10;9;8;7;7
34;100;94;89;84;79;74;70;66;62;58;55;52;48;45;43;40;38;35;33;31;29;27;25;24;22;21;19;18;17;16;15;14;13;12;11;10;9;9;8;7;7
33;100;94;89;84;79;74;70;66;62;58;55;51;48;45;42;40;37;35;33;31;29;27;25;24;22;21;19;18;17;16;14;13;13;12;11;10;9;8;8;7;6
32;100;94;89;84;79;74;70;66;62;58;54;51;48;45;42;40;37;35;33;31;29;27;25;23;22;20;19;18;16;15;14;13;12;11;10;10;9;8;7;7;6
31;100;94;89;84;79;74;70;65;62;58;54;51;48;45;42;39;37;35;32;30;28;26;25;23;22;20;19;17;16;15;14;13;12;11;10;9;9;8;7;7;6
30;100;94;89;83;79;74;69;65;61;58;54;51;48;45;42;39;37;34;32;30;28;26;25;23;21;20;19;17;16;15;14;13;12;11;10;9;8;8;7;6;6
29;100;94;89;83;78;74;69;65;61;57;54;51;47;44;42;39;37;34;32;30;28;26;24;23;21;20;18;17;16;15;14;13;12;11;10;9;8;7;7;6;6
28;100;94;89;83;78;74;69;65;61;57;54;50;47;44;41;39;36;34;32;30;28;26;24;22;21;19;18;17;16;14;13;12;11;10;9;9;8;7;7;6;6
27;100;94;89;83;78;74;69;65;61;57;54;50;47;44;41;39;36;34;31;29;27;26;24;22;21;19;18;17;15;14;13;12;11;10;9;8;8;7;6;6;5
26;100;94;88;83;78;73;69;65;61;57;53;50;47;44;41;38;36;33;31;29;27;25;24;22;20;19;18;16;15;14;13;12;11;10;9;8;8;7;6;6;5
25;100;94;88;83;78;73;69;64;60;57;53;50;47;44;41;38;36;33;31;29;27;25;23;22;20;19;17;16;15;13;12;11;10;10;9;8;7;7;6;6;5
24;100;94;88;83;78;73;69;64;60;56;53;49;46;43;40;38;35;33;31;29;27;25;23;22;20;18;17;16;14;13;12;11;10;9;9;8;7;7;6;5;
23;100;94;88;83;78;73;68;64;60;56;53;49;46;43;40;38;35;33;31;28;26;25;23;21;20;18;17;15;14;13;12;11;10;9;8;8;7;6;6;5;
22;100;94;88;83;78;73;68;64;60;56;52;49;46;43;40;37;35;32;30;28;26;24;23;21;19;18;16;15;14;13;11;11;10;9;8;7;7;6;6;5;
21;100;94;88;83;78;73;68;64;60;56;52;49;46;43;40;37;35;32;30;28;26;24;22;20;19;17;16;15;13;12;11;10;9;9;8;7;7;6;5;;
20;100;94;88;83;77;73;68;64;59;56;52;49;45;42;39;37;34;32;30;28;26;24;22;20;18;17;15;14;13;12;11;10;9;8;8;7;6;6;5;;
19;100;94;88;82;77;72;68;63;59;55;52;48;45;42;39;37;34;32;29;27;25;23;21;20;18;17;15;14;13;12;11;10;9;8;7;7;6;6;5;;
18;100;94;88;82;77;72;68;63;59;55;52;48;45;42;39;36;34;31;29;27;25;23;21;19;18;16;15;14;12;11;10;9;9;8;7;7;6;5;;;
17;100;94;88;82;77;72;67;63;59;55;51;48;45;42;39;36;34;31;29;26;24;22;20;19;17;16;15;13;12;11;10;9;8;8;7;6;6;5;;;
16;100;94;88;82;77;72;67;63;59;55;51;48;44;41;38;36;33;31;28;26;24;22;20;18;17;15;14;13;12;11;10;9;8;7;7;6;6;5;;;
15;100;94;88;82;77;72;67;63;58;54;51;47;44;41;38;35;33;30;28;25;23;21;20;18;16;15;14;13;11;10;10;9;8;7;7;6;5;;;;
14;100;94;88;82;77;72;67;62;58;54;51;47;44;41;38;35;32;29;27;25;23;21;19;18;16;15;13;12;11;10;9;8;8;7;6;6;5;;;;
13;100;94;88;82;76;71;67;62;58;54;50;47;44;40;37;34;31;29;27;24;22;20;19;17;16;14;13;12;11;10;9;8;8;7;6;6;5;;;;
12;100;94;87;82;76;71;66;62;58;54;50;47;43;40;37;34;31;28;26;24;22;20;18;17;15;14;13;12;11;10;9;8;7;7;6;5;;;;;
11;100;94;87;82;76;71;66;62;57;53;50;46;43;39;36;33;30;28;26;23;21;20;18;16;15;14;12;11;10;9;9;8;7;6;6;5;;;;;
10;100;93;87;81;76;71;66;61;57;53;49;46;42;39;35;32;30;27;25;23;21;19;18;16;15;13;12;11;10;9;8;8;7;6;6;5;;;;;
9;100;93;87;81;76;71;66;61;57;53;49;45;41;38;35;32;29;27;25;22;21;19;17;16;14;13;12;11;10;9;8;7;7;6;5;;;;;;
8;100;93;87;81;76;70;66;61;57;52;48;44;41;37;34;31;29;26;24;22;20;18;17;15;14;13;12;10;10;9;8;7;6;6;5;;;;;;
7;100;93;87;81;76;70;65;61;56;51;47;43;40;37;34;31;28;26;24;22;20;18;16;15;14;12;11;10;9;8;8;7;6;6;5;;;;;;
6;100;93;87;81;75;70;65;60;55;51;47;43;39;36;33;30;28;25;23;21;19;18;16;15;13;12;11;10;9;8;7;7;6;5;;;;;;;
